"CD45"	"CD33"	"CD26"	"CD11c"	"IgD"	"HLA-DR"	"CD57"	"CD49d"	"CD43"	"CD3"	"CD45RB"	"CD81"	"CD52"	"CD1c"	"CD55"	"CD25"	"CD64"	"CD123"	"TCRgd"	"Siglec-8"	"CX3CR1"	"CD20"	"CD9"	"CD34"	"CD22"	"CD14"	"CD161"	"CD29"	"CD137"	"CD62L"	"CD127"	"CD24"	"CD27"	"CD141"	"CD45RA"	"CD38"	"CD85j"	"CD147"	"CD56"	"CD99"	"CD28"	"CD39"	"CD8a"	"CD5"	"CD7"	"CD4"	"CD16"
"195"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.752352109040248	0.569321181570004	0.5	0.880525614453809	0.5	0.5	0.5	0.5	0.842762725668358	0.5	0.5	0.5	0.779806230703148	0.5	0.5	0.5	0.933004334739434	0.5	0.5	1.11766794720844	0.807521259497527	0.5	0.5	0.5	0.754121758713899	0.5	0.5	0.982780917475248	1.03924185121338	0.5	0.865895669556282	0.859021271764536	0.5	0.5	0.5	0.5
"295"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.16677486751282	0.5	0.5	0.5	0.5	0.5	1.02963675094766	0.635416350425363	0.846183570540767	1.25530259512125	0.5	0.5	0.5	0.922434873094222	0.651939833187258	0.5	0.5	0.5	0.5	0.5	0.5	0.855858210930927	0.5	1.15793308211824	1.08683879816768	1.22419115654612	0.5	0.5	0.649032608565853	0.5	0.5	0.5	0.5
"305"	0.5	0.5	0.5	0.5	0.5	0.5	0.706119654103088	0.5	1.06266647714718	0.5	0.5	0.594064920244704	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.703807806181039	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.954213169510083	0.5	0.855499073732832	0.822841289890211	0.5	0.5	0.5	1.16154842321191	0.5	0.5	0.5	0.577954865969506
"405"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.760999544294688	0.5	0.5	0.5	0.5
"505"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.05887087053073	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.557874664398118	0.5	0.5	0.5	0.741477796467481	0.7062221585702	0.5	0.5	0.5	0.5
"605"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.6705366111652	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.8991957705695	0.5	0.5	0.5	0.5	0.5	0.581990839736295	0.5	0.5	0.832821033870307	0.5	0.5	0.5	1.27679994091329	0.5	0.5	0.5	0.5
"705"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.541646010313934	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"895"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.508935853811038	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.565087567646282	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.507153096090116	0.5	0.622740822154554	0.5	0.5	0.5	0.5	0.5
"995"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"1095"	0.5	0.5	0.5	0.857829279737202	0.5	0.5	0.5	0.710514747709152	0.509859218135974	0.5	0.5	0.736756756140279	1.27036765534522	0.5	1.38800836905082	0.5	0.6747237387304	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.656026951378035	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.786408182585535	0.5	0.5	0.906828592813758	0.864850398577695	0.5	0.5	0.559339747441958	0.5	0.5	0.5	0.830342647014804
