"CD45"	"CD33"	"CD26"	"CD11c"	"IgD"	"HLA-DR"	"CD57"	"CD49d"	"CD43"	"CD3"	"CD45RB"	"CD81"	"CD52"	"CD1c"	"CD55"	"CD25"	"CD64"	"CD123"	"TCRgd"	"Siglec-8"	"CX3CR1"	"CD20"	"CD9"	"CD34"	"CD22"	"CD14"	"CD161"	"CD29"	"CD137"	"CD62L"	"CD127"	"CD24"	"CD27"	"CD141"	"CD45RA"	"CD38"	"CD85j"	"CD147"	"CD56"	"CD99"	"CD28"	"CD39"	"CD8a"	"CD5"	"CD7"	"CD4"	"CD16"
"195"	0	0	0	0	0	0	0	0.78342911031947	0.350940369618544	0	0	6.97188009611085	1.50515241911391	0	3.89162631187749	0	0	0	0	4.82985426159321	0	0.180803824943382	9.11528858488017	2.3123922728052	0	0	0	5.50772051307796	0	0	5.42861350978219	5.61481125811951	0	0	0	1.48534225192104	0	9.40446205877624	3.09821417955799	4.02056100005171	0	5.32469870616516	4.89427865926325	0.606840142063031	0.032123687017672	0.342917308976841	0
"295"	0	0	0	0	0.970420525062104	0	0	0.161857334254799	0.693667295204523	0	0	0	0	0	4.35912407755469	0	0.184517065697241	0	0	0	4.5990070968732	1.60181131650005	9.66239255799467	4.61580560828422	0.0381873665091701	0	0.144293892635482	9.38847818808252	1.82337787010337	0.0751306425091169	0.349880083481878	1.03309997432247	0	0	0.480724326978095	2.40808624566015	0	8.70727752751869	3.60599045740709	7.95241173509933	0.762345295814334	0.072085965606497	1.86327038470606	0	0	0	0
"305"	0	0	0	0	0	0	7.96148806681777	0.00575044113526989	3.66991836219429	0	0	1.44108666859806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.53673863884471	0	0	0	0	0	0	8.89948578662883	2.72082564523369	0	6.89820294143458	6.79445874157364	9.42257820628133	0.0965907832292853	0	4.2774798911118	0.226434011474009	1.62318795320639	0	1.26811210363064
"405"	0	0	0	0	0	0	0	0	0.0777416647187023	0	0	0	0	0	7.94060673397742	0	0.452475151950918	0	0	0	0	0	0	0	0	0	0	1.0531623157215	0	4.53414275882708	0	4.78794780843966	0	0	0	0.539818930110515	0	9.03896983023912	0.360957613751101	0.0849742908458961	0	2.90538937692748	3.44274712506132	0.191511114557982	0.127425487413881	0	8.9621260793638
"505"	0	0	0	0	0	0	0	0	0.206263073770004	0	0	0	0	0	7.37927676553041	0	0	0	0	0	0	0	0	0	0	0	0	0.944713894943709	0	2.29601530880821	0	2.92923270106735	0	0	0	0	0	8.6043816008932	0.676542916283204	0	0	1.79178199068349	4.73441480683638	0	0	0	7.62608081221897
"605"	0	0.00232511833976385	0	0	0	0	0	0	0	0	0	0	0	0	7.4142712465035	0	6.82724037844698	0	0	0	0	0	0	0	0	0.793263571061553	0	8.20684605049003	0.282374388869225	4.58388218139638	0	0	0	0.668417589473634	0	6.57354567009584	0.34210703697487	10	3.267451422257	9.51508706758391	0.204715417721845	4.27914451440544	3.73313374793398	0.0551498732460124	0	0	0
"705"	0	0	0	0	0.000749635694879605	0	0	0	0.00549732062002008	0.0669535629299676	0	0	0	0	7.78097021705081	0	0	0.0986575777948793	0	0	0	0	0.0474490108557936	0	0	0	0	2.90512798455393	0	5.57987250023873	0.273869759040062	6.1185965030878	0	0.475122916976734	0	0.345881403078056	0	9.09477902211706	0.557297427483304	0.145038137136673	0	4.92130818519469	2.66567758608128	0.42131300125715	0.384847977375018	0.0337318321770755	8.90508877121561
"895"	0	0	0	0	0	0	0	0	0.314286493942067	0	0	0	0	0	3.91312794121674	0	0.00215325283821242	0	0	0	0	0	0	0	0	0	0	5.18726708624734	0.0428680458098048	0.59206010926075	0	5.52682403324903	0	0	0	0.613299781410552	0	8.96590097885552	2.17027694044431	0.529799741517795	0.0116613714251962	1.80044285796127	2.78957278452959	0	0.0239360165339824	0	1.92864319866258
"995"	0	0	0	1.08329320751971	0	0	0	1.43971716773868	0.19801148796848	0	0	0	1.98661595889826	0	7.03883184444198	0	6.30643940303764	0	0	0	0	0	0.322216933890253	0	0	7.03982309999913	0	7.58308642710567	0	0	0	0	0	0.12983654651521	0.348767938224322	6.85488048961544	0	9.7817659050038	4.3274791427321	8.16809866184483	0	4.32174407106617	3.32498053086092	0	0.97483630172002	0	0.223922689160329
"1095"	0	0	0	2.41324494577251	0	0.381491391648273	0	4.33842677747524	0.791934517625279	0	0	0.966151865561996	5.1889230209925	0	6.94004066254658	0	1.38404225177794	0	0	0	0	0	0	0	0	0.219240223166965	0	7.8172496990787	0	0	0.328397637771044	0	0	0.918970535213125	0	1.14348969148238	1.27916272092074	9.74380451976036	2.73929115175429	4.70666724508182	0	1.56930774277209	1.93012665207545	0	0	0	4.839881350826
