"CD45"	"CD33"	"CD26"	"CD11c"	"IgD"	"HLA-DR"	"CD57"	"CD49d"	"CD43"	"CD3"	"CD45RB"	"CD81"	"CD52"	"CD1c"	"CD55"	"CD25"	"CD64"	"CD123"	"TCRgd"	"Siglec-8"	"CX3CR1"	"CD20"	"CD9"	"CD34"	"CD22"	"CD14"	"CD161"	"CD29"	"CD137"	"CD62L"	"CD127"	"CD24"	"CD27"	"CD141"	"CD45RA"	"CD38"	"CD85j"	"CD147"	"CD56"	"CD99"	"CD28"	"CD39"	"CD8a"	"CD5"	"CD7"	"CD4"	"CD16"
"195"	0	0	0	0	0	0	0	0.185674246102171	0.0827972359958173	0	0	2.4886285114283	0.362190456714783	0	1.05117985207463	0	0	0	0	1.40038849236442	0	0.0426212868161083	4.22600303819197	0.572314695349066	0	0	0	1.6943543000472	0	0	1.657968675954	1.74455176509308	0	0	0	0.357229126539394	0	4.53199064908104	0.796749413026982	1.09575594068148	0	1.61104622669843	1.42667633264615	0.143496451227643	0.00757036950179982	0.0809001913761	0
"295"	0	0	0	0	0.230688784985877	0	0	0.038152696032958	0.164199293212369	0	0	0	0	0	1.21773130019626	0	0.0434971633775221	0	0	0	1.30880173402672	0.386513296017667	4.82263872281648	1.31533249609703	0.00899939086823382	0	0.0340109831051996	4.51454113981144	0.443044845714088	0.0177062803569806	0.0825465155786267	0.245873543547509	0	0	0.113530411896663	0.598445870484693	0	3.82734858025492	0.955826793831215	3.1806384843553	0.180622965497592	0.0169886610696926	0.453347034086126	0	0	0	0
"305"	0	0	0	0	0	0	3.18777727041973	0.00135515458382287	0.976776361780165	0	0	0.346173561844738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28477173569687	0	0	0	0	0	0	4.01052006625845	0.686039570867387	0	2.4424337262099	2.37863244312811	4.55184570919185	0.022764637263739	0	1.18763758635268	0.0533869721830343	0.391919060726679	0	0.303312552976612
"405"	0	0	0	0	0	0	0	0	0.0183216960547859	0	0	0	0	0	3.17137529067898	0	0.106832886341901	0	0	0	0	0	0	0	0	0	0	0.250745032370673	0	1.28377600341121	0	1.38346256564767	0	0	0	0.127557623661246	0	4.14857725724674	0.0851662195680861	0.0200264567754632	0	0.73945110755871	0.903304194460502	0.0451470055858651	0.0300337191971392	0	4.07197467428459
"505"	0	0	0	0	0	0	0	0	0.0486272866379731	0	0	0	0	0	2.75799714077949	0	0	0	0	0	0	0	0	0	0	0	0	0.224475825210878	0	0.567872168954832	0	0.74645108846201	0	0	0	0	0	3.73254131021761	0.160111032321578	0	0	0.43491308522143	1.36203675554751	0	0	0	2.93338916643225
"605"	0	0.000547939522413197	0	0	0	0	0	0	0	0	0	0	0	0	2.78228486323333	0	2.39863725912229	0	0	0	0	0	0	0	0	0.188031955799835	0	3.38639308715443	0.0665937272092792	1.30293916699805	0	0	0	0.158172114349027	0	2.24746455319134	0.080708619567795	5.23017903752534	0.848390445211673	4.65453549924195	0.0482621368787081	1.18824673140107	0.997710419455011	0.0129970349948969	0	0	0
"705"	0	0	0	0	0.000176659828101667	0	0	0	0.00129550392142183	0.0157789920073242	0	0	0	0	3.04849214364092	0	0	0.0232518288520935	0	0	0	0	0.0111821099183308	0	0	0	0	0.73937449713017	0	1.72805409534267	0.0645852116999313	1.99615361857945	0	0.112201997246627	0	0.0816010143987732	0	4.20506270426672	0.131711090807331	0.0341864743740268	0	1.43780308528491	0.670336474418271	0.0994502111406334	0.0908180051237531	0.00794935785961823	4.01598120790391
"895"	0	0	0	0	0	0	0	0	0.0741327741168827	0	0	0	0	0	1.05854499418068	0	0.000507437536929568	0	0	0	0	0	0	0	0	0	0	1.55046867472335	0.0101024943591932	0.139978560940769	0	1.70322884108649	0	0	0	0.145034495544987	0	4.07570633425814	0.534040418127326	0.125177714537495	0.0027481328167931	0.437139695259887	0.705777494467354	0	0.00564081326099097	0	0.470316524853234
"995"	0	0	0	0.258071906481521	0	0	0	0.34583205125706	0.0466805034348426	0	0	0	0.485458368240746	0	2.53125682495217	0	2.09697430584939	0	0	0	0	0	0.0760069277131178	0	0	2.53189266691261	0	2.90213824833944	0	0	0	0	0	0.0306021726524508	0.08228353783917	2.41561567409139	0	4.96312003668366	1.20601421867135	3.35429178467182	0	1.20389790792803	0.866248064685808	0	0.231756866769105	0	0.0527943182115919
"1095"	0	0	0	0.599863084166416	0	0.0900237620037488	0	1.21006014766828	0.187713270316873	0	0	0.229656525171747	1.55118877630422	0	2.46857429375736	0	0.331978573507326	0	0	0	0	0	0	0	0	0.051689339197062	0	3.07603390965656	0	0	0.0774677603582045	0	0	0.21826224419504	0	0.272749109829074	0.306034938965855	4.91802560927228	0.691323282142003	1.35101670952352	0	0.378312480922802	0.470702880041218	0	0	0	1.4044585996626
