"CD45"	"CD33"	"CD26"	"CD11c"	"IgD"	"HLA-DR"	"CD57"	"CD49d"	"CD43"	"CD3"	"CD45RB"	"CD81"	"CD52"	"CD1c"	"CD55"	"CD25"	"CD64"	"CD123"	"TCRgd"	"Siglec-8"	"CX3CR1"	"CD20"	"CD9"	"CD34"	"CD22"	"CD14"	"CD161"	"CD29"	"CD137"	"CD62L"	"CD127"	"CD24"	"CD27"	"CD141"	"CD45RA"	"CD38"	"CD85j"	"CD147"	"CD56"	"CD99"	"CD28"	"CD39"	"CD8a"	"CD5"	"CD7"	"CD4"	"CD16"
"195"	0	0	0	0	0	0	0	0.355005526139737	0.158306695433877	0	0	4.75820902797582	0.692501067585161	0	2.00983531258233	0	0	0	0	2.67751540113055	0	0.0814910665778557	8.08003513430681	1.09425450112288	0	0	0	3.23957227446822	0	0	3.17000367302621	3.33554884560609	0	0	0	0.683015101349985	0	8.66507746018835	1.52336929063133	2.09506392194165	0	3.08028886800918	2.72777723747137	0.274362407478003	0.0144743983857611	0.154679583233498	0
"295"	0	0	0	0	0.441072443850846	0	0	0.0729472084210141	0.31394583633615	0	0	0	0	0	2.32827842308899	0	0.0831657254282116	0	0	0	2.50240331093136	0.739005860496405	9.22079089112466	2.5148900002463	0.0172066592819581	0	0.0650283343288606	8.63171433983548	0.847093077570275	0.0338540616486398	0.157827322901136	0.470105405156158	0	0	0.217067926512856	1.14421679676925	0	7.31781560974217	1.82752213064482	6.08131855818882	0.345347576443682	0.0324819876103722	0.866790660192442	0	0	0	0
"305"	0	0	0	0	0	0	6.09496777748555	0.00259102905292524	1.86757729471977	0	0	0.661877077937528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4564584242316	0	0	0	0	0	0	7.66803590753563	1.31169423827599	0	4.66988550236235	4.54789869727588	8.70303994668901	0.0435255410960274	0	2.2707398309535	0.102074846386701	0.749341576865245	0	0.579927667485976
"405"	0	0	0	0	0	0	0	0	0.0350307244232595	0	0	0	0	0	6.06360751309866	0	0.204262388678093	0	0	0	0	0	0	0	0	0	0	0.479419596483476	0	2.45455460358128	0	2.6451533603757	0	0	0	0.243887680987686	0	7.93199855584607	0.162836145678834	0.0382901935703883	0	1.41381605152198	1.72709994816526	0.0863201914541464	0.0574238835451983	0	7.78553591582449
"505"	0	0	0	0	0	0	0	0	0.0929744207398703	0	0	0	0	0	5.27323657754637	0	0	0	0	0	0	0	0	0	0	0	0	0.429193386307266	0	1.08576047756775	0	1.42719987806611	0	0	0	0	0	7.13654596417729	0.306129161492977	0	0	0.831545310592673	2.6041876306245	0	0	0	5.60858269934137
"605"	0	0.0010476496473292	0	0	0	0	0	0	0	0	0	0	0	0	5.31967422772925	0	4.58614751409583	0	0	0	0	0	0	0	0	0.359513420957005	0	6.47471733349439	0.127325903628699	2.4911941974639	0	0	0	0.302421988261162	0	4.29710825779823	0.154313301683803	10	1.62210593389761	8.89938081630996	0.092276261543703	2.2719045043691	1.90760280345408	0.0248500766448837	0	0	0
"705"	0	0	0	0	0.000337770135274859	0	0	0	0.00247697815338039	0.0301691240282858	0	0	0	0	5.82865733996616	0	0	0.0444570418818685	0	0	0	0	0.021379975404478	0	0	0	0	1.41366957388137	0	3.30400562379276	0.123485661268089	3.81660666730049	0	0.214528023690209	0	0.156019543142414	0	8.03999762550451	0.251829028915328	0.0653638702016636	0	2.74905137084028	1.28167022507023	0.190146858123022	0.173642249093491	0.0151990167116334	7.67847750352361
"895"	0	0	0	0	0	0	0	0	0.141740413827131	0	0	0	0	0	2.02391732020236	0	0.000970210643438437	0	0	0	0	0	0	0	0	0	0	2.96446577373182	0.0193157715762885	0.267636270071168	0	3.25654022331972	0	0	0	0.277303118123487	0	7.79267077669021	1.02107483184745	0.239337341302035	0.00525437618306347	0.835802545426284	1.34943276205951	0	0.0107851246018911	0	0.899235994559308
"995"	0	0	0	0.493428436445319	0	0	0	0.661224116374973	0.0892522093410582	0	0	0	0.928186902891264	0	4.83971352948146	0	4.00937384897167	0	0	0	0	0	0.145323758838437	0	0	4.84092924687064	0	5.54883155532011	0	0	0	0	0	0.0585107554309083	0.157324514608017	4.6186099113623	0	9.48938841495561	2.30587559243856	6.4133402711562	0	2.30182924769943	1.65624935297755	0	0.443114595325136	0	0.100941703587592
"1095"	0	0	0	1.14692648160328	0	0.172123671786088	0	2.31361132952883	0.358904100548132	0	0	0.439098783280675	2.96584259386685	0	4.71986575611638	0	0.634736537937717	0	0	0	0	0	0	0	0	0.098829005328886	0	5.88131665777924	0	0	0.148116842277083	0	0	0.417313140963356	0	0.521490962110784	0.585132816238459	9.40316875194247	1.32179659086604	2.5831175182155	0	0.723326062470321	0.899974698120336	0	0	0	2.68529736665979
"1195"	0	0.054594608464738	0	0.530723418510411	0	0.0953865673465958	0	0.512894390867454	0	0	0	0	0	0	5.45207287779671	0	1.75451900113293	0	0	0	0	0.0308278790279812	1.1905686383666	0	0.294878842019273	4.69920800511978	0	5.63337848508934	0	0.189656137806881	0	0	0	0	0.0365341840986948	4.53882977707227	0.242901782125912	9.3367062269973	1.62265510779832	4.64396296306664	0.0788967484976407	2.62360963069702	1.16947476283966	0.119491992498399	0.134363175658158	0	0
"1295"	0	0	0	0	0	0	0	0	0.0258741226561891	0	0	0	0	0	1.04292849012239	0	0.118426920730417	0	0	0	0	0	0	0	0	0	0	0.84757990058196	0	0.51111206624181	0	3.33194122448479	0	0	0	0.28090389001711	0	7.34644176275043	0.559828281231219	0.0714009321160327	0	1.71100460421298	1.10565345462161	0	0	0	0.992364954760497
"1395"	0.675823585837546	0	0	1.85876878752632	0	0.4711657371343	0	0.430780441491387	0.0501606755854926	0	0.0993245205064352	0.671100482355041	0.893970011073345	0.00656066102252996	5.85759188574947	0	4.36469718741678	0	0	0	0.0176964926413716	0	3.95210486525005	0.71597921427141	0	7.07743631775181	0	6.09533577164734	0.635622874322472	0.257811531005709	0.120307222107627	0.939583857119006	0	1.13800510947941	0	4.51302177337686	0.935513497217284	9.88733476282265	2.08658232610746	7.00131291594853	0	4.70088693427207	1.16103827282576	0.221225508248706	0.0648817880160352	0.0678521450793387	0
"1495"	0	0	0	0	0.446406943002756	0.00961006751225786	0	0	0	0	0.242008511902892	0	0.406560148785453	0.25907976456639	0.15678930525895	0	0	0	0	0	1.23096657357786	0	6.94873438087683	0.124043525313368	0	0	0	5.50377361782306	0	0	0.140820899708007	0.0808609694863955	0	0	0	0.237240940613901	0	4.5955271217487	0.311351067694838	3.68580209831903	0	0.492266891121152	0.222929577408244	0	0	0.0896614807671053	0
